Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.08,10-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.11,11-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.13,12-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.16,15-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.17,16-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.18,17-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.16,18-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.19,19-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.24,22-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.24,23-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.22,24-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.26,25-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.34,26-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.37,29-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.39,30-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.45,31-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.42,01-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.46,02-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.51,05-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.54,06-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.65,07-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.6,08-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.59,09-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.61,12-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.71,13-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.74,14-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.72,15-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.8,16-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.83,19-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.85,20-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.86,21-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.79,22-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.72,23-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.77,26-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.83,27-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.89,28-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.95,30-Jun-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.96,03-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.96,04-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11,05-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.08,06-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.03,07-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.03,10-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.09,11-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.17,12-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.15,13-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.25,14-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.3,17-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.29,18-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.38,19-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.45,20-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.4,21-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.41,24-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.43,25-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.45,26-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.41,27-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.43,28-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.5,31-Jul-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.52,01-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.43,02-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.42,03-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.5,04-Aug-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,11.54,07-Aug-23
